labels,entities
"['Industry', 'Position', 'Position', 'Soft Skill']","['responsibility', 'marketing specialist', 'communication skills', 'sales']"
['Soft Skill'],['problem-solving']
"['Position', 'Academic Discipline', 'Position', 'Position', 'Academic Discipline', 'Position', 'Position', 'Position', 'Soft Skill', 'Academic Discipline', 'Academic Discipline', 'Education Level', 'Industry', 'Solution', 'Database', 'Management']","['organizational skills', 'information technology', 'multi-task', 'administrative support', 'manager', 'executive assistant', 'ms word', 'computer science', 'relational database', 'software development', 'software', 'information management', ""bachelor's degree"", 'management', 'project manager', 'interpersonal skills']"
"['Position', 'Position', 'Position', 'Business Function', 'Business Function', 'Business Function', 'Soft Skill', 'Soft Skill', 'Academic Discipline', 'Academic Discipline', 'Education Level', 'Education Level', 'Programming Language', 'Database', 'Programming Language', 'Competency', 'Programming Language', 'Programming Language', 'Programming Language', 'Programming Language', 'Framework/Library', 'Programming Language', 'Management', 'Soft Skill']","['multi-task', 'computer science', 'software development', 'software developer', 'vbscript', 'manager', ""master's degree"", 'optimization', 'sql', 'attention to detail', 'information management', 'troubleshooting', 'problem-solving', 'organizational skills', 'xml', 'senior database administrator', 'php', 'microsoft sql server', 'database administration', ""bachelor's degree"", 'information technology', 'asp', 'html', 'software']"
"['Platform', 'Industry', 'Industry', 'Platform']","['ios', 'project coordinator', 'banking', 'financial sector']"
"['Platform', 'Platform', 'Education Level']","['ios', 'project coordinator', 'graduate degree']"
"['Platform', 'Industry', 'Platform', 'Industry']","['ios', 'insurance', 'project coordinator', 'public administration']"
"['Position', 'Industry', 'Position', 'Work Activity', 'Position']","['administrative support', 'director', 'health-care', 'logistics', 'planning']"
"['Platform', 'Platform', 'Education Level']","['ios', 'project coordinator', 'graduate degree']"
"['Academic Discipline', 'Soft Skill']","['willing to work', 'philology']"
"['Education Level', 'Management', 'Soft Skill']","['university degree', 'flexibility', 'management']"
"['Position', 'Education Level', 'Management', 'Soft Skill']","['university degree', 'technical coordinator', 'management', 'flexibility']"
"['Position', 'Education Level', 'Soft Skill']","['university degree', 'technical coordinator', 'flexibility']"
"['Position', 'Education Level', 'Management', 'Soft Skill']","['university degree', 'technical coordinator', 'management', 'flexibility']"
"['Industry', 'Industry', 'Solution', 'Solution', 'Education Level', 'Management']","['organizational skills', 'university degree', 'logistics', 'ms word', 'excel', 'agriculture']"
"['Industry', 'Business Function', 'Management', 'Soft Skill', 'Industry', 'Soft Skill']","['sales', 'internal tuning', 'military', 'communication skills', 'management', 'trouble-shooting']"
['Industry'],['sales']
['Industry'],['sales']
"['Education Level', 'Soft Skill']","['university degree', 'flexibility']"
"['Academic Discipline', 'Academic Discipline', 'Position', 'Academic Discipline', 'Academic Discipline']","['administrative assistant', 'communication skills', 'time management', 'seismology', 'physics']"
"['Work Activity', 'Management']","['leadership', 'documenting']"
"['Management', 'Soft Skill', 'Solution', 'Industry', 'Business Function']","['human resources', 'transportation', 'attention to details', 'excel', 'management']"
"['Management', 'Business Function']","['human resources', 'management']"
"['Position', 'Framework/Library', 'Position', 'Work Activity', 'Soft Skill', 'Soft Skill', 'Industry', 'Management', 'Soft Skill', 'Platform', 'Solution', 'Management']","['written and verbal communication', 'programming', 'director', 'manager', 'windows', 'government', 'technology', 'problem solving', 'excel', 'management', 'spring', 'interpersonal skills']"
