user_id,skill
21,52
21,163
22,164
22,165
22,166
22,130
22,75
22,22
22,36
22,12
22,15
22,34
22,76
22,32
22,37
22,38
22,61
22,62
22,43
22,7
22,79
22,24
22,51
22,35
22,102
23,74
23,167
23,168
23,108
23,13
23,109
23,35
23,27
23,17
23,6
23,113
23,3
23,12
23,85
23,5
23,52
23,19
23,21
23,22
23,32
23,4
23,110
23,28
24,169
24,170
24,171
24,10
24,61
24,62
24,43
24,44
24,38
24,59
24,45
24,22
24,34
24,36
24,7
24,79
24,51
24,35
24,102
24,6
24,103
24,48
24,5
25,172
25,1
25,89
25,101
25,61
25,62
25,43
25,44
25,38
25,59
25,45
25,22
25,34
25,36
25,7
25,79
25,51
25,35
25,102
25,6
25,103
25,48
25,5
26,173
26,174
26,175
26,74
26,126
26,22
26,32
26,34
26,63
26,76
26,77
26,43
26,61
26,62
26,42
26,65
26,78
26,79
26,80
26,60
26,14
26,24
26,67
27,176
27,177
27,178
27,15
27,120
27,118
27,86
27,19
27,179
27,12
27,16
27,180
27,35
27,181
27,25
27,89
27,182
27,8
27,145
27,21
27,24
27,27
27,22
28,183
28,184
28,185
28,36
28,65
28,6
28,97
28,76
28,3
28,34
28,87
28,19
28,45
28,22
28,39
28,130
28,61
28,43
28,44
28,62
28,186
28,35
28,67
29,187
29,188
29,189
29,127
29,6
29,3
29,121
29,190
29,109
29,151
29,42
29,12
29,61
29,43
29,62
29,65
29,191
29,76
29,14
29,48
29,9
29,192
30,193
30,194
30,195
30,196
30,197
30,22
30,198
30,36
30,97
30,25
30,34
30,15
30,61
30,43
30,38
30,37
30,65
30,7
30,79
30,51
30,35
30,102
31,199
31,107
31,200
31,196
31,22
31,198
31,36
31,97
31,25
31,34
31,15
31,61
31,43
31,38
31,37
31,65
31,7
31,79
31,24
31,51
31,35
31,102
32,201
32,202
32,203
32,130
32,75
32,22
32,36
32,12
32,15
32,34
32,76
32,32
32,37
32,38
32,61
32,62
32,43
32,7
32,79
32,51
32,35
32,102
33,204
33,205
33,206
33,196
33,197
33,22
33,198
33,36
33,97
33,25
33,34
33,15
33,61
33,43
33,38
33,37
33,65
33,7
33,79
33,51
33,35
33,102
34,16
34,207
34,208
34,10
34,61
34,62
34,43
34,44
34,38
34,59
34,97
34,22
34,34
34,36
34,7
34,79
34,51
34,35
34,102
34,6
34,103
34,48
35,209
35,210
35,211
35,19
35,9
35,22
35,144
35,12
35,16
35,27
35,53
35,110
35,108
35,85
35,6
35,15
35,86
35,121
35,145
35,21
35,7
35,102
36,212
36,137
36,213
36,214
36,215
36,76
36,160
36,216
36,112
36,19
36,113
36,9
36,217
36,185
36,60
36,115
36,218
36,219
36,220
36,193
36,221
36,79
37,222
37,223
37,88
37,224
37,3
37,113
37,22
37,225
37,14
37,11
37,62
37,34
37,97
37,132
37,162
37,118
37,15
37,25
37,19
37,43
37,12
37,9
38,226
38,227
38,228
38,38
38,75
38,37
38,61
38,62
38,43
38,64
38,65
38,22
38,229
38,161
38,34
38,66
38,97
38,44
38,36
38,186
38,25
38,67
39,172
39,230
39,231
39,186
39,22
39,15
39,36
39,34
39,25
39,131
39,37
39,38
39,61
39,62
39,64
39,65
39,32
39,232
39,47
39,43
39,233
39,151
40,234
40,29
40,235
40,186
40,22
40,15
40,36
40,34
40,25
40,131
40,37
40,38
40,61
40,62
40,64
40,65
40,32
40,232
40,47
40,43
40,233
40,151
41,236
41,237
41,238
41,32
41,22
41,118
41,97
41,6
41,14
41,9
41,145
41,85
41,11
41,47
41,34
41,80
41,23
41,162
41,76
41,24
41,90
41,15
42,239
42,240
42,241
42,32
42,22
42,118
42,97
42,6
42,14
42,9
42,145
42,85
42,11
42,47
42,34
42,80
42,23
42,162
42,76
42,24
42,90
42,15
43,242
43,243
43,244
43,32
43,22
43,118
43,97
43,6
43,14
43,9
43,145
43,85
43,11
43,47
43,34
43,80
43,23
43,162
43,76
43,24
43,90
43,15
44,146
44,86
44,245
44,75
44,87
44,246
44,215
44,3
44,97
44,22
44,48
44,61
44,62
44,43
44,151
44,121
44,77
44,191
44,24
44,65
44,247
45,158
45,123
45,248
45,8
45,11
45,48
45,249
45,22
45,76
45,35
45,47
45,221
45,89
45,250
45,251
45,109
45,217
45,4
45,121
45,145
45,28
46,252
46,253
46,154
46,8
46,11
46,48
46,249
46,22
46,76
46,35
46,47
46,221
46,89
46,250
46,251
46,109
46,217
46,4
46,121
46,145
46,28
47,247
47,47
47,254
47,10
47,34
47,255
47,3
47,80
47,11
47,22
47,61
47,60
47,77
47,186
47,65
47,52
47,79
47,25
47,67
47,85
47,24
48,256
48,257
48,10
48,75
48,65
48,61
48,62
48,43
48,258
48,151
48,42
48,78
48,259
48,25
48,244
48,190
48,9
48,22
48,260
48,18
48,131
49,111
49,261
49,52
49,75
49,65
49,61
49,62
49,43
49,258
49,151
49,42
49,78
49,259
49,25
49,244
49,190
49,9
49,22
49,260
49,18
49,131
50,262
50,263
50,264
50,22
50,34
50,160
50,161
50,162
50,32
50,77
50,61
50,62
50,43
50,151
50,65
50,42
50,44
50,52
50,80
50,24
50,163
51,19
51,229
51,265
51,196
51,97
51,198
51,36
51,22
51,25
51,61
51,43
51,38
51,37
51,65
51,34
51,7
51,79
51,24
51,51
51,35
51,102
52,266
52,267
52,187
52,87
52,38
52,75
52,23
52,47
52,22
52,46
52,162
52,37
52,186
52,3
52,61
52,62
52,43
52,64
52,97
52,65
52,51
53,268
53,3
53,269
53,8
53,4
53,11
53,270
53,255
53,6
53,190
53,111
53,113
53,12
53,7
53,35
53,79
53,24
53,89
53,25
53,121
53,13
54,174
54,271
54,254
54,8
54,110
54,217
54,108
54,4
54,12
54,22
54,9
54,19
54,114
54,7
54,35
54,79
54,24
54,89
54,25
54,121
54,13
55,272
55,273
55,274
55,17
55,13
